Category of Vehicles,01-01-2022,01-01-2023,%age change,,,
Two wheelers,"25,02,610","26,53,290",6.00,,,
"(motorcycles, scooters & mopeds)","2,32,440","2,34,550",0.90,,,
Auto rickshaws,"13,58,840","14,42,380",6.10,,,
"LMV (cars, jeeps, station wagons & taxis)","12,840","20,710",61.30,,,
"Buses (stage carriages, contract carriages, school buses & PSV)","99,470","1,16,270",16.90,,,
"Goods vehicles [articulated/multiaxial vehicles, trucks & lorries, tankers, delivery vans (3 & 4 wheelers) etc.]",230,250,8.70,,,
Tractors,150,170,13.30,,,
Trailers,"1,940","2,060",6.30,,,
Ambulances,"4,410","6,080",37.80,,,
Others,"42,12,930","44,75,760",6.20,,,
